postcode,address_house,address_street,state,country,property_valuation
4300,86857, Hoepker Lane,QLD,Australia,8
2340,8435, Arkansas Terrace,NSW,Australia,4
2010,25, Novick Center,NSW,Australia,9
4305,0278, Elka Place,QLD,Australia,4
4340,067, Cottonwood Park,QLD,Australia,2
3137,60010, Knutson Road,Victoria,Australia,7
2075,945, Hayes Park,NSW,Australia,12
3068,86, Huxley Parkway,Victoria,Australia,8
2148,0, Rigney Way,NSW,Australia,8
2539,71, Meadow Ridge Parkway,NSW,Australia,11
4580,506, Iowa Center,QLD,Australia,3
4300,846, Clove Junction,QLD,Australia,5
2750,07, Pepper Wood Way,NSW,Australia,8
2761,425, Thierer Junction,NSW,Australia,8
2566,876, Ridgeview Circle,NSW,Australia,8
2041,00164, Canary Drive,NSW,Australia,11
4504,61, Talmadge Lane,QLD,Australia,6
2176,55, Birchwood Alley,NSW,Australia,9
2036,3785, Dapin Drive,NSW,Australia,6
4551,83, Ryan Hill,QLD,Australia,8
2087,679, Huxley Trail,NSW,Australia,11
2212,2, Hoffman Way,NSW,Australia,9
2035,786, Rowland Court,NSW,Australia,11
4120,375, Drewry Alley,QLD,Australia,9
2306,608, Basil Alley,NSW,Australia,4
4075,9, Schmedeman Hill,QLD,Australia,7
3975,95022, Roth Terrace,Victoria,Australia,7
2066,66897, Pawling Circle,NSW,Australia,9
4114,1, Thackeray Crossing,QLD,Australia,3
2763,363, Schiller Court,NSW,Australia,7
4341,1923, Fisk Lane,QLD,Australia,3
4022,4, Loeprich Avenue,QLD,Australia,3
2168,575, Prentice Road,NSW,Australia,8
4116,8, Melrose Road,QLD,Australia,7
4178,226, Rowland Street,QLD,Australia,7
4123,6, Springs Junction,QLD,Australia,5
4132,4744, Garrison Drive,QLD,Australia,4
4820,64, Nelson Drive,QLD,Australia,1
2153,87, Linden Park,NSW,Australia,10
3076,329, Glacier Hill Alley,Victoria,Australia,8
3028,725, Cordelia Junction,Victoria,Australia,8
4035,32, Cody Place,QLD,Australia,8
2326,04, Namekagon Pass,NSW,Australia,3
2145,165, Petterle Place,NSW,Australia,8
2747,8, Golf Drive,NSW,Australia,9
2759,9427, Tennyson Plaza,NSW,Australia,8
3429,8300, Vermont Center,Victoria,Australia,6
2148,44, Upham Crossing,NSW,Australia,7
2204,18, Forest Avenue,NSW,Australia,9
3337,049, Michigan Parkway,Victoria,Australia,6
4218,831, Hayes Park,QLD,Australia,8
3011,491, Merry Crossing,Victoria,Australia,4
2380,598, Randy Way,NSW,Australia,1
3015,5873, Hagan Park,Victoria,Australia,10
3564,3, Erie Hill,Victoria,Australia,2
3171,678, Old Gate Pass,Victoria,Australia,9
4551,9, Mayfield Road,QLD,Australia,7
2560,41759, Crowley Circle,NSW,Australia,8
2565,9892, Dennis Alley,NSW,Australia,7
2035,58729, Moland Trail,NSW,Australia,12
3850,36360, Coleman Trail,Victoria,Australia,3
2519,67, Aberg Hill,NSW,Australia,4
2166,88, La Follette Way,NSW,Australia,8
3807,2884, Welch Lane,Victoria,Australia,8
3032,60, Meadow Vale Hill,Victoria,Australia,5
4800,9912, Eagle Crest Lane,QLD,Australia,7
3025,355, Thackeray Circle,Victoria,Australia,9
2121,56, Anniversary Avenue,NSW,Australia,12
2570,14, Autumn Leaf Avenue,NSW,Australia,10
2577,30274, Graedel Way,NSW,Australia,7
3084,74013, Mesta Terrace,Victoria,Australia,9
2199,15, Lindbergh Center,NSW,Australia,9
4870,3, Corscot Hill,QLD,Australia,5
4171,77006, Nelson Point,QLD,Australia,10
3975,25, Mesta Plaza,Victoria,Australia,8
2134,1349, Namekagon Crossing,NSW,Australia,12
2066,186, Shasta Avenue,NSW,Australia,9
4053,48, Warbler Road,QLD,Australia,7
4740,756, Farragut Place,QLD,Australia,2
2260,197, Mifflin Hill,NSW,Australia,10
2800,618, Independence Pass,NSW,Australia,1
2304,2836, Morning Drive,NSW,Australia,7
3752,8, Lawn Hill,Victoria,Australia,7
2048,99, Cascade Crossing,NSW,Australia,12
2194,4, Sunfield Circle,NSW,Australia,8
2216,5, Lyons Alley,NSW,Australia,10
4352,96910, Sugar Point,QLD,Australia,7
2557,558, Maple Court,NSW,Australia,9
2209,9114, Union Center,NSW,Australia,7
2147,76, Hanson Junction,NSW,Australia,9
2548,3, Sheridan Park,NSW,Australia,8
2262,40545, Forster Point,NSW,Australia,7
2763,8425, Jackson Terrace,NSW,Australia,9
2463,39035, Westerfield Plaza,NSW,Australia,4
2481,8234, Riverside Park,NSW,Australia,9
2072,4535, Daystar Parkway,NSW,Australia,12
3155,95, Fallview Avenue,Victoria,Australia,8
3095,75826, Bellgrove Trail,Victoria,Australia,10
4207,64080, Susan Park,QLD,Australia,7
2577,8179, Veith Pass,NSW,Australia,7
2160,5, Maple Parkway,NSW,Australia,9
4110,0, Carey Drive,QLD,Australia,4
2017,1, Moose Avenue,NSW,Australia,8
2745,02, Bartelt Center,NSW,Australia,8
2769,0650, Sachs Circle,NSW,Australia,10
4214,16420, Veith Crossing,QLD,Australia,7
3805,81310, Charing Cross Plaza,Victoria,Australia,7
2770,37430, Merrick Center,NSW,Australia,6
2322,6046, Sheridan Way,NSW,Australia,3
4562,537, Packers Street,QLD,Australia,5
2117,6, Briar Crest Court,NSW,Australia,12
2283,4, Lillian Plaza,NSW,Australia,6
2571,70836, Colorado Plaza,NSW,Australia,11
2233,15, Emmet Street,NSW,Australia,10
3480,8, Dottie Court,Victoria,Australia,1
3011,520, Stephen Pass,Victoria,Australia,9
3551,18939, Upham Hill,Victoria,Australia,3
3136,4222, Porter Lane,Victoria,Australia,9
2753,1721, Nobel Junction,NSW,Australia,8
3093,30550, Pierstorff Lane,Victoria,Australia,7
2232,6, Morning Drive,NSW,Australia,9
3023,646, Mariners Cove Place,Victoria,Australia,6
2153,51, Londonderry Trail,NSW,Australia,10
2176,4086, Darwin Terrace,NSW,Australia,9
2304,4033, Hermina Road,NSW,Australia,7
2567,37, Banding Avenue,NSW,Australia,9
4217,8080, Victoria Plaza,QLD,Australia,11
4615,14254, Hallows Parkway,QLD,Australia,1
2026,78, Glacier Hill Drive,NSW,Australia,10
3174,6, Fulton Road,Victoria,Australia,8
2777,76, Londonderry Park,NSW,Australia,9
2199,68861, School Hill,NSW,Australia,9
2190,09, Bartelt Lane,NSW,Australia,8
4221,29639, Porter Center,QLD,Australia,8
2766,5811, Moulton Drive,NSW,Australia,8
3551,80027, Ryan Terrace,Victoria,Australia,3
3429,8, Kingsford Hill,Victoria,Australia,6
3150,8044, Emmet Hill,Victoria,Australia,9
3183,2249, Havey Hill,Victoria,Australia,10
2145,1855, Stang Terrace,NSW,Australia,9
2154,2, Riverside Trail,NSW,Australia,11
2192,98, Esker Junction,NSW,Australia,10
2145,9984, Pankratz Road,NSW,Australia,10
2290,324, Mifflin Road,NSW,Australia,7
3073,2726, Cardinal Way,Victoria,Australia,5
4811,3, Talisman Place,QLD,Australia,2
4005,282, West Trail,QLD,Australia,5
3191,08260, Jay Court,Victoria,Australia,11
4810,12, ,QLD,Australia,2
4121,0297, Merchant Avenue,QLD,Australia,9
2100,1, Monica Street,NSW,Australia,9
2031,0272, Pankratz Hill,NSW,Australia,10
3111,2, North Crossing,Victoria,Australia,11
4305,345, Dovetail Avenue,QLD,Australia,5
3137,2826, Huxley Center,Victoria,Australia,8
2229,61043, Summer Ridge Junction,NSW,Australia,11
2176,56045, Express Avenue,NSW,Australia,9
3068,760, Forest Dale Place,Victoria,Australia,12
2263,99, Wayridge Place,NSW,Australia,8
2117,5, Dahle Trail,NSW,Australia,10
4118,62215, Delaware Plaza,QLD,Australia,3
2594,37, Dorton Street,NSW,Australia,3
3850,00, Evergreen Center,VIC,Australia,4
2536,80, Maple Avenue,NSW,Australia,4
3750,43, Jana Way,VIC,Australia,7
4019,195, Knutson Place,QLD,Australia,8
2197,9, Melby Park,NSW,Australia,10
2227,4, Vahlen Junction,NSW,Australia,10
2540,6330, Monica Way,NSW,Australia,9
2293,7101, Gulseth Hill,NSW,Australia,9
2560,983, ,NSW,Australia,8
2143,08, Vidon Center,NSW,Australia,5
4305,36, Helena Drive,QLD,Australia,1
3630,20554, Orin Place,VIC,Australia,1
2164,3903, Messerschmidt Park,NSW,Australia,8
2148,64, Muir Lane,NSW,Australia,8
2759,06495, Swallow Terrace,NSW,Australia,9
2150,033, Loftsgordon Center,NSW,Australia,8
3121,80, Scofield Alley,VIC,Australia,10
4350,64, Milwaukee Pass,QLD,Australia,4
2567,50851, Vahlen Avenue,NSW,Australia,7
4305,88, Bay Drive,QLD,Australia,3
3183,0, Thompson Road,VIC,Australia,8
4350,99, Elka Street,QLD,Australia,4
4869,2699, Crest Line Way,QLD,Australia,4
2145,6, Melody Trail,NSW,Australia,9
2137,90, New Castle Trail,NSW,Australia,9
2093,2570, Wayridge Park,NSW,Australia,9
2354,70, Old Gate Street,NSW,Australia,3
2190,3, Magdeline Terrace,NSW,Australia,10
4019,36744, Birchwood Center,QLD,Australia,3
4814,68, Chinook Street,QLD,Australia,2
3201,0, Valley Edge Plaza,VIC,Australia,6
2282,8, Starling Trail,NSW,Australia,8
2223,3, Crest Line Plaza,NSW,Australia,10
2292,0601, Stephen Place,NSW,Australia,7
2141,00, Mockingbird Junction,NSW,Australia,9
2126,37817, Burning Wood Circle,NSW,Australia,11
3046,02353, Kropf Lane,VIC,Australia,9
3008,79, Arkansas Drive,VIC,Australia,10
2830,4085, Jackson Hill,NSW,Australia,7
2099,57, Gulseth Terrace,NSW,Australia,10
2250,52737, Morningstar Crossing,NSW,Australia,3
2171,866, Rockefeller Junction,NSW,Australia,9
3076,414, Kensington Lane,VIC,Australia,8
2077,81, Holy Cross Alley,NSW,Australia,8
3156,1, Loomis Parkway,VIC,Australia,9
2756,572, Brown Circle,NSW,Australia,8
4873,92344, Oakridge Drive,QLD,Australia,4
4514,1626, Dawn Street,QLD,Australia,3
4210,845, Talisman Pass,QLD,Australia,7
4551,1899, Manley Court,QLD,Australia,7
4006,15067, Commercial Pass,QLD,Australia,7
2754,80932, ,NSW,Australia,8
2767,018, Erie Point,NSW,Australia,9
2282,40402, Moulton Park,NSW,Australia,8
3810,246, Norway Maple Trail,VIC,Australia,2
2137,2, Autumn Leaf Plaza,NSW,Australia,8
2173,808, Starling Place,NSW,Australia,9
2152,5409, Mandrake Circle,NSW,Australia,10
2340,786, Bonner Drive,NSW,Australia,4
2088,7175, Orin Junction,NSW,Australia,12
3805,8208, Lotheville Street,VIC,Australia,8
2067,25689, Eastlawn Crossing,NSW,Australia,11
2122,44, Lakewood Gardens Pass,NSW,Australia,10
3976,87, Twin Pines Plaza,VIC,Australia,5
2067,65, Sachtjen Park,NSW,Australia,11
2000,84, Loomis Pass,NSW,Australia,12
2040,58047, Westport Road,NSW,Australia,12
2530,59000, American Center,NSW,Australia,8
3175,659, Scofield Street,VIC,Australia,5
2156,388, Weeping Birch Plaza,NSW,Australia,11
4127,09413, Holmberg Terrace,QLD,Australia,3
2066,8640, Village Junction,NSW,Australia,12
2759,177, Sheridan Trail,NSW,Australia,8
4171,1, Oriole Alley,QLD,Australia,11
2073,8925, Ryan Trail,NSW,Australia,11
3218,77, Nova Junction,VIC,Australia,8
2228,43, Esker Pass,NSW,Australia,8
4207,205, Melody Circle,QLD,Australia,4
4114,44997, Anniversary Way,QLD,Australia,3
2430,4444, Bunting Point,NSW,Australia,7
3199,3, Washington Plaza,VIC,Australia,7
2192,285, Aberg Point,NSW,Australia,10
4210,4, Sachtjen Avenue,QLD,Australia,10
2290,055, Dakota Pass,NSW,Australia,8
4350,6, Green Ridge Circle,QLD,Australia,3
2880,6841, Dawn Drive,NSW,Australia,1
4413,74251, Golden Leaf Lane,QLD,Australia,3
3187,2, Dwight Street,VIC,Australia,11
3028,511, Gulseth Plaza,VIC,Australia,6
2166,71801, Grover Point,NSW,Australia,10
2680,69, Hovde Plaza,NSW,Australia,5
2527,3387, Warrior Court,NSW,Australia,7
2147,7837, Derek Street,NSW,Australia,9
2141,00, Algoma Crossing,NSW,Australia,7
4215,341, Londonderry Point,QLD,Australia,7
4701,2661, Di Loreto Point,QLD,Australia,7
2163,036, Kedzie Terrace,NSW,Australia,9
4220,615, Spenser Drive,QLD,Australia,10
2336,641, Waywood Lane,NSW,Australia,7
2650,49, Buhler Plaza,NSW,Australia,2
3031,56, Graceland Alley,VIC,Australia,7
4415,3, Magdeline Way,QLD,Australia,2
3139,94, Anhalt Way,VIC,Australia,7
4122,18, Parkside Plaza,QLD,Australia,4
4055,681, Transport Pass,QLD,Australia,7
2150,6, Harper Lane,NSW,Australia,10
4020,59041, Independence Point,QLD,Australia,9
3975,55, Hovde Parkway,VIC,Australia,8
3147,36903, Reinke Trail,VIC,Australia,10
3623,938, Nova Junction,VIC,Australia,1
4122,48, Bobwhite Crossing,QLD,Australia,8
4356,7391, Ruskin Parkway,QLD,Australia,5
2216,677, Butternut Crossing,NSW,Australia,7
3124,8360, Washington Avenue,VIC,Australia,12
2768,519, Maywood Pass,NSW,Australia,10
2065,6712, Nova Crossing,NSW,Australia,10
2753,383, Rockefeller Junction,NSW,Australia,9
2034,71039, Packers Street,NSW,Australia,10
2650,5, Hauk Lane,NSW,Australia,3
2287,02377, Maywood Trail,NSW,Australia,7
2010,2, School Street,NSW,Australia,10
3034,9254, Straubel Street,VIC,Australia,9
2196,3, Glacier Hill Parkway,NSW,Australia,10
2177,029, Springview Place,NSW,Australia,8
4800,1, Springview Place,QLD,Australia,5
2219,60, Meadow Valley Avenue,NSW,Australia,10
2234,42, Thompson Hill,NSW,Australia,10
4812,2, Pankratz Street,QLD,Australia,5
2065,65345, Marcy Crossing,NSW,Australia,12
2537,77, Pawling Pass,NSW,Australia,3
3191,06419, Dayton Junction,VIC,Australia,10
4870,5, Hauk Way,QLD,Australia,8
2065,923, Westerfield Junction,NSW,Australia,10
2830,707, Spaight Place,NSW,Australia,4
4720,89, Monument Place,QLD,Australia,1
4213,583, Coleman Parkway,QLD,Australia,9
2026,376, Buena Vista Street,NSW,Australia,11
3124,91457, Anderson Avenue,VIC,Australia,12
3765,39, Ronald Regan Alley,VIC,Australia,8
2148,1, ,NSW,Australia,8
2165,7, Meadow Ridge Center,NSW,Australia,9
2756,41821, Sheridan Center,NSW,Australia,9
2767,7, Reindahl Center,NSW,Australia,8
2153,6382, Bayside Street,NSW,Australia,10
2148,850, Manitowish Avenue,NSW,Australia,8
2486,88, Comanche Point,NSW,Australia,7
3228,13845, Hayes Center,VIC,Australia,8
4511,88022, South Road,QLD,Australia,5
2340,9, Northridge Lane,NSW,Australia,3
4110,95530, Hallows Circle,QLD,Australia,5
4226,97, Karstens Place,QLD,Australia,7
4506,237, Summit Pass,QLD,Australia,3
3150,1, Cottonwood Street,VIC,Australia,9
2026,8642, Forest Run Avenue,NSW,Australia,9
3084,352, Bonner Crossing,VIC,Australia,8
3802,52726, High Crossing Junction,VIC,Australia,7
2116,60086, Summit Lane,NSW,Australia,10
2747,5, Farmco Way,NSW,Australia,8
2211,33, Kropf Hill,NSW,Australia,10
2222,2, Derek Pass,NSW,Australia,7
3124,87140, Mandrake Lane,VIC,Australia,8
2795,69278, High Crossing Place,NSW,Australia,5
2567,42, Cordelia Park,NSW,Australia,8
3188,50, ,VIC,Australia,9
3730,8, Colorado Circle,VIC,Australia,4
2234,55, Daystar Court,NSW,Australia,10
2062,21, Dwight Crossing,NSW,Australia,10
2027,3828, Norway Maple Avenue,NSW,Australia,11
3060,3044, Summer Ridge Center,VIC,Australia,8
4131,43455, Carey Center,QLD,Australia,4
2518,57953, Drewry Street,NSW,Australia,10
2323,3, Luster Junction,NSW,Australia,4
2766,9987, Stuart Alley,NSW,Australia,8
3199,2309, Gulseth Way,VIC,Australia,8
3158,730, Dixon Place,VIC,Australia,8
3188,10421, Cordelia Parkway,VIC,Australia,12
2477,35454, Welch Hill,NSW,Australia,6
3143,3403, Spenser Terrace,VIC,Australia,8
2770,06, Oneill Parkway,NSW,Australia,7
2195,243, Ridge Oak Center,NSW,Australia,9
2036,4, Eastlawn Crossing,NSW,Australia,12
2575,33, Farwell Crossing,NSW,Australia,10
3400,5, Reindahl Point,VIC,Australia,2
2145,8882, Valley Edge Junction,NSW,Australia,8
3037,633, Cordelia Alley,VIC,Australia,7
2233,32, Dennis Hill,NSW,Australia,9
4570,54905, Anniversary Pass,QLD,Australia,2
4507,5, Gale Street,QLD,Australia,8
4220,5413, Burning Wood Plaza,QLD,Australia,8
2113,6183, Morrow Court,NSW,Australia,11
3799,9, Colorado Trail,VIC,Australia,3
4505,627, Ronald Regan Alley,QLD,Australia,6
2229,93446, Eagle Crest Plaza,NSW,Australia,10
3021,9, Clyde Gallagher Plaza,VIC,Australia,7
2443,56709, Petterle Street,NSW,Australia,6
2010,221, Coolidge Parkway,NSW,Australia,9
4218,33564, Jana Court,QLD,Australia,5
2570,7, Starling Crossing,NSW,Australia,9
3752,283, Ryan Street,VIC,Australia,7
4720,97, Aberg Pass,QLD,Australia,1
3177,0, Menomonie Avenue,VIC,Australia,6
2192,20, Carpenter Parkway,NSW,Australia,9
2069,14796, Ramsey Street,NSW,Australia,12
3111,1346, Forest Dale Point,VIC,Australia,10
2023,217, Meadow Vale Point,NSW,Australia,12
2033,341, Saint Paul Lane,NSW,Australia,9
3030,7823, Village Green Park,VIC,Australia,8
2148,382, Dayton Lane,NSW,Australia,8
3147,4, Kennedy Trail,VIC,Australia,8
2196,4364, Gale Park,NSW,Australia,10
2089,2379, Dorton Pass,NSW,Australia,12
2641,5, Hintze Hill,NSW,Australia,1
4212,58, High Crossing Place,QLD,Australia,10
3241,1, Ridgeway Court,VIC,Australia,5
2450,00, Park Meadow Terrace,NSW,Australia,6
4209,29419, Harper Circle,QLD,Australia,5
2026,1601, Judy Drive,NSW,Australia,10
3428,7628, Larry Trail,VIC,Australia,7
4227,004, Lawn Trail,QLD,Australia,5
3806,42, Dahle Parkway,VIC,Australia,7
4034,1472, Meadow Vale Lane,QLD,Australia,7
2760,95, Old Gate Junction,NSW,Australia,8
3175,55, Fairfield Court,VIC,Australia,8
2558,92, Bunker Hill Trail,NSW,Australia,7
2460,1, Boyd Junction,NSW,Australia,1
3173,938, Monica Park,VIC,Australia,9
2289,26204, Monument Alley,NSW,Australia,8
2031,36, Grayhawk Plaza,NSW,Australia,9
2250,8276, Hudson Trail,NSW,Australia,6
2027,3638, Starling Alley,NSW,Australia,11
3111,7380, Canary Pass,VIC,Australia,7
4500,9, Debs Trail,QLD,Australia,4
4825,82, Shasta Drive,QLD,Australia,3
4213,9, Goodland Center,QLD,Australia,9
4161,4, Amoth Trail,QLD,Australia,6
4018,730, Butternut Trail,QLD,Australia,4
2560,21780, Service Park,NSW,Australia,7
3757,00745, Huxley Center,VIC,Australia,9
3073,45, Hazelcrest Junction,VIC,Australia,9
2871,84019, Porter Trail,NSW,Australia,3
3141,64211, Laurel Alley,VIC,Australia,10
4034,31369, Meadow Valley Road,QLD,Australia,5
2194,8298, Texas Alley,NSW,Australia,10
2146,1, Continental Center,NSW,Australia,9
2768,0465, Melrose Alley,NSW,Australia,9
3073,5357, Mcguire Plaza,VIC,Australia,9
3136,4757, Texas Trail,VIC,Australia,9
4869,27, Sunfield Center,QLD,Australia,3
3127,656, Bartelt Parkway,VIC,Australia,12
4078,610, Lakewood Gardens Point,QLD,Australia,7
3182,61, Lukken Plaza,VIC,Australia,6
2165,67, Holmberg Way,NSW,Australia,9
3046,3383, Fair Oaks Circle,VIC,Australia,8
2066,2, Vermont Avenue,NSW,Australia,12
2065,486, Atwood Pass,NSW,Australia,12
4380,05, Loftsgordon Pass,QLD,Australia,9
2340,570, Butternut Pass,NSW,Australia,4
2769,63, Grayhawk Pass,NSW,Australia,9
4220,44594, ,QLD,Australia,9
2179,495, Elmside Drive,NSW,Australia,8
2527,9, Macpherson Avenue,NSW,Australia,8
3024,738, Division Street,VIC,Australia,8
3934,5, Sheridan Circle,VIC,Australia,11
2027,42, Lunder Drive,NSW,Australia,11
3109,3, Hayes Court,VIC,Australia,10
2540,711, Sachtjen Point,NSW,Australia,8
2145,16395, Nevada Lane,NSW,Australia,10
2761,0996, Cody Terrace,NSW,Australia,8
2136,80424, Corben Alley,NSW,Australia,10
2145,37208, Golf View Terrace,NSW,Australia,8
3124,1128, Golden Leaf Center,VIC,Australia,9
3046,4885, Stone Corner Alley,VIC,Australia,8
2153,66, Hudson Crossing,NSW,Australia,10
2069,5287, Wayridge Alley,NSW,Australia,12
2046,15393, Cody Lane,NSW,Australia,9
2484,1, Mcbride Center,NSW,Australia,6
3225,4870, Shelley Alley,VIC,Australia,7
4053,65634, Del Mar Crossing,QLD,Australia,7
3145,8572, Melvin Drive,VIC,Australia,11
4068,5549, Bay Point,QLD,Australia,9
2324,9, Forest Circle,NSW,Australia,3
2214,6, Kedzie Hill,NSW,Australia,9
2041,60601, Hoffman Court,NSW,Australia,12
2031,1715, Scoville Drive,NSW,Australia,11
3809,85, Laurel Trail,VIC,Australia,6
2454,3082, Almo Center,NSW,Australia,4
4556,27135, Melvin Plaza,QLD,Australia,8
2065,40, Kinsman Pass,NSW,Australia,10
2216,094, Green Road,NSW,Australia,11
4573,91, Spohn Plaza,QLD,Australia,7
4570,5, Jana Drive,QLD,Australia,1
2154,201, Pepper Wood Avenue,NSW,Australia,11
2171,4408, Haas Way,NSW,Australia,9
2871,6, Pawling Trail,NSW,Australia,7
3034,31111, Hoepker Road,VIC,Australia,9
3082,79, Lighthouse Bay Lane,VIC,Australia,8
2131,2354, Forster Road,NSW,Australia,11
3207,5271, Vernon Court,VIC,Australia,10
3184,06, Declaration Hill,VIC,Australia,11
2250,07716, ,NSW,Australia,5
2118,10, Pennsylvania Hill,NSW,Australia,11
2570,2330, Huxley Crossing,NSW,Australia,10
2260,5811, Hanson Lane,NSW,Australia,7
2065,7, Main Crossing,NSW,Australia,12
3977,682, Spenser Plaza,VIC,Australia,6
2016,1149, Riverside Parkway,NSW,Australia,11
2112,1176, Pine View Lane,NSW,Australia,11
2137,22, Sachtjen Avenue,NSW,Australia,12
2228,6, Pankratz Crossing,NSW,Australia,11
2217,6988, Acker Crossing,NSW,Australia,10
2223,9993, Mccormick Street,NSW,Australia,8
2018,7, Holmberg Circle,NSW,Australia,9
3109,7, Village Green Circle,VIC,Australia,10
2315,4044, Tennessee Parkway,NSW,Australia,9
2170,4297, Emmet Lane,NSW,Australia,8
4053,6, Sycamore Drive,QLD,Australia,7
4300,6, Barby Road,QLD,Australia,4
2619,37495, Summerview Park,NSW,Australia,7
2452,3, Center Crossing,NSW,Australia,3
2229,19386, Burrows Way,NSW,Australia,10
2800,4, Quincy Trail,NSW,Australia,3
2880,69881, Westport Parkway,NSW,Australia,1
2515,44, Ramsey Road,NSW,Australia,9
4020,12764, Raven Plaza,QLD,Australia,7
2193,356, Petterle Way,NSW,Australia,9
2064,2827, Fallview Lane,NSW,Australia,9
4220,7, Del Sol Road,QLD,Australia,9
2450,05415, Basil Junction,NSW,Australia,8
4152,09, Warbler Court,QLD,Australia,9
4035,847, David Hill,QLD,Australia,8
2322,24596, Hoepker Avenue,NSW,Australia,4
4509,75, Mesta Hill,QLD,Australia,7
3138,7258, Mandrake Terrace,VIC,Australia,9
3029,84741, Scoville Terrace,VIC,Australia,5
3441,04328, Rowland Plaza,VIC,Australia,9
3136,332, Maywood Crossing,VIC,Australia,9
2121,6026, Graceland Crossing,NSW,Australia,11
3023,0, Fremont Court,VIC,Australia,7
3337,5515, Artisan Center,VIC,Australia,3
2216,0, Nevada Pass,NSW,Australia,10
4074,06, Heffernan Junction,QLD,Australia,7
2101,04, Onsgard Center,NSW,Australia,9
2153,37, Division Way,NSW,Australia,9
2164,9623, Fisk Plaza,NSW,Australia,8
2160,9419, Homewood Way,NSW,Australia,9
2756,26349, Spaight Junction,NSW,Australia,8
4510,1063, Forest Avenue,QLD,Australia,3
2075,548, Dahle Lane,NSW,Australia,11
2647,4, Barby Road,NSW,Australia,3
2154,258, Luster Court,NSW,Australia,10
2565,22669, Lien Center,NSW,Australia,6
2731,9, Autumn Leaf Court,NSW,Australia,4
3185,9, Superior Plaza,VIC,Australia,11
2164,86603, Dexter Road,NSW,Australia,9
2323,8, Ridgeview Park,NSW,Australia,5
3130,4754, Ramsey Junction,VIC,Australia,9
3757,9, Dayton Alley,VIC,Australia,7
3284,08, Carey Center,VIC,Australia,6
2204,915, Thackeray Junction,NSW,Australia,11
2037,515, ,NSW,Australia,12
4211,184, Roth Pass,QLD,Australia,7
2153,84, Porter Alley,NSW,Australia,10
2527,79494, Ruskin Circle,NSW,Australia,9
2747,98, Schiller Junction,NSW,Australia,9
2152,20519, Katie Circle,NSW,Australia,8
2118,2273, Oneill Place,NSW,Australia,11
2168,03, ,NSW,Australia,9
2067,8548, Hanover Park,NSW,Australia,11
3021,4079, Lindbergh Center,VIC,Australia,8
2573,338, Grasskamp Lane,NSW,Australia,7
2118,0355, ,NSW,Australia,11
2759,0182, Esker Center,NSW,Australia,9
3185,48, Sheridan Road,VIC,Australia,11
2206,1879, Mitchell Center,NSW,Australia,10
4869,81114, ,QLD,Australia,4
4226,1, Nevada Park,QLD,Australia,8
2062,6, Buell Point,NSW,Australia,12
4814,4284, Debra Drive,QLD,Australia,3
3076,8, Hansons Street,VIC,Australia,7
4815,7674, Roxbury Junction,QLD,Australia,4
2076,771, Sugar Way,NSW,Australia,11
2539,1792, Judy Road,NSW,Australia,6
2147,92, Melvin Hill,NSW,Australia,9
3184,592, Merry Lane,VIC,Australia,3
4503,6, Dapin Park,QLD,Australia,6
4127,03, Holmberg Park,QLD,Australia,2
2206,8587, Graceland Way,NSW,Australia,10
3162,91, Messerschmidt Trail,VIC,Australia,11
2526,5998, Bayside Terrace,NSW,Australia,9
2579,107, Moland Court,NSW,Australia,5
2177,4439, ,NSW,Australia,9
3165,2272, Dennis Alley,VIC,Australia,10
3201,0, Scofield Plaza,VIC,Australia,4
2768,51152, Brickson Park Crossing,NSW,Australia,9
2160,4668, Coleman Street,NSW,Australia,5
2148,8, Moland Junction,NSW,Australia,7
4502,1, Raven Junction,QLD,Australia,4
2166,40570, Acker Alley,NSW,Australia,9
4551,893, Petterle Trail,QLD,Australia,10
4127,84, Monument Terrace,QLD,Australia,4
2222,0103, Bay Junction,NSW,Australia,11
2710,9618, Havey Place,NSW,Australia,1
4510,098, Veith Hill,QLD,Australia,3
2090,03058, Shoshone Lane,NSW,Australia,12
3038,7975, Browning Plaza,VIC,Australia,4
3551,154, Cambridge Point,VIC,Australia,8
2250,3, Sachs Point,NSW,Australia,7
4122,0386, Mayfield Way,QLD,Australia,7
3031,24, Merchant Plaza,VIC,Australia,10
3145,353, Oneill Park,VIC,Australia,9
3142,92867, Lukken Lane,VIC,Australia,9
2710,11, Corscot Plaza,NSW,Australia,1
2576,13, Buhler Plaza,NSW,Australia,8
4209,72673, Mayfield Trail,QLD,Australia,6
3442,42739, Moose Pass,VIC,Australia,8
2153,3, Atwood Lane,NSW,Australia,10
4064,378, Prentice Point,QLD,Australia,9
4152,95, Forest Run Drive,QLD,Australia,8
2230,20, Main Road,NSW,Australia,9
2127,71, Cherokee Hill,NSW,Australia,7
2529,698, Summer Ridge Way,NSW,Australia,7
2170,79, Grasskamp Center,NSW,Australia,9
2212,6541, Dahle Junction,NSW,Australia,9
2150,858, Swallow Parkway,NSW,Australia,8
2118,0005, Independence Drive,NSW,Australia,9
4012,525, Kedzie Street,QLD,Australia,8
2747,03890, Logan Court,NSW,Australia,8
4217,8, Clyde Gallagher Court,QLD,Australia,8
2430,62, Elka Terrace,NSW,Australia,3
3039,85931, Johnson Alley,VIC,Australia,6
2017,63588, Clove Court,NSW,Australia,9
2213,86, Stang Way,NSW,Australia,10
2061,84, Westridge Hill,NSW,Australia,10
